rate_date,base_currency,quote_currency,exchange_rate
2023-12-29,NOK,EUR,0.08896401
2023-12-29,NOK,SEK,0.9871447
2023-12-29,NOK,PLN,0.38605934
2023-12-29,NOK,RON,0.44264935
2023-12-29,NOK,DKK,0.6630399
2023-12-29,NOK,CZK,2.19954628
2023-12-29,EUR,NOK,11.2405
2023-12-29,EUR,SEK,11.096
2023-12-29,EUR,PLN,4.3395
2023-12-29,EUR,RON,4.9756
2023-12-29,EUR,DKK,7.4529
2023-12-29,EUR,CZK,24.724
2023-12-29,SEK,NOK,1.01302271
2023-12-29,SEK,EUR,0.09012257
2023-12-29,SEK,PLN,0.39108688
2023-12-29,SEK,RON,0.44841384
2023-12-29,SEK,DKK,0.67167448
2023-12-29,SEK,CZK,2.22819034
2023-12-29,PLN,NOK,2.59027538
2023-12-29,PLN,EUR,0.2304413
2023-12-29,PLN,SEK,2.55697661
2023-12-29,PLN,RON,1.14658371
2023-12-29,PLN,DKK,1.71745593
2023-12-29,PLN,CZK,5.69743058
2023-12-29,RON,NOK,2.25912453
2023-12-29,RON,EUR,0.20098079
2023-12-29,RON,SEK,2.2300828
2023-12-29,RON,PLN,0.87215612
2023-12-29,RON,DKK,1.4978897
2023-12-29,RON,CZK,4.96904896
2023-12-29,DKK,NOK,1.50820486
2023-12-29,DKK,EUR,0.13417596
2023-12-29,DKK,SEK,1.48881643
2023-12-29,DKK,PLN,0.58225657
2023-12-29,DKK,RON,0.6676059
2023-12-29,DKK,CZK,3.31736639
2023-12-29,CZK,NOK,0.45463922
2023-12-29,CZK,EUR,0.04044653
2023-12-29,CZK,SEK,0.44879469
2023-12-29,CZK,PLN,0.17551772
2023-12-29,CZK,RON,0.20124575
2023-12-29,CZK,DKK,0.30144394
2024-01-02,NOK,EUR,0.08864069
2024-01-02,NOK,SEK,0.98874263
2024-01-02,NOK,PLN,0.38743075
2024-01-02,NOK,RON,0.44058857
2024-01-02,NOK,DKK,0.66082524
2024-01-02,NOK,CZK,2.18827284
2024-01-02,EUR,NOK,11.2815
2024-01-02,EUR,SEK,11.1545
2024-01-02,EUR,PLN,4.3708
2024-01-02,EUR,RON,4.9705
2024-01-02,EUR,DKK,7.4551
2024-01-02,EUR,CZK,24.687
2024-01-02,SEK,NOK,1.01138554
2024-01-02,SEK,EUR,0.08964992
2024-01-02,SEK,PLN,0.39184186
2024-01-02,SEK,RON,0.44560491
2024-01-02,SEK,DKK,0.6683491
2024-01-02,SEK,CZK,2.2131875
2024-01-02,PLN,NOK,2.58110643
2024-01-02,PLN,EUR,0.22879107
2024-01-02,PLN,SEK,2.55204997
2024-01-02,PLN,RON,1.137206
2024-01-02,PLN,DKK,1.70566029
2024-01-02,PLN,CZK,5.6481651
2024-01-02,RON,NOK,2.26969118
2024-01-02,RON,EUR,0.201187
2024-01-02,RON,SEK,2.24414043
2024-01-02,RON,PLN,0.87934815
2024-01-02,RON,DKK,1.49986923
2024-01-02,RON,CZK,4.96670355
2024-01-02,DKK,NOK,1.51325938
2024-01-02,DKK,EUR,0.13413636
2024-01-02,DKK,SEK,1.49622406
2024-01-02,DKK,PLN,0.58628322
2024-01-02,DKK,RON,0.66672479
2024-01-02,DKK,CZK,3.31142439
2024-01-02,CZK,NOK,0.45698141
2024-01-02,CZK,EUR,0.04050715
2024-01-02,CZK,SEK,0.451837
2024-01-02,CZK,PLN,0.17704865
2024-01-02,CZK,RON,0.20134079
2024-01-02,CZK,DKK,0.30198485
2024-01-03,NOK,EUR,0.08833922
2024-01-03,NOK,SEK,0.98864841
2024-01-03,NOK,PLN,0.3854947
2024-01-03,NOK,RON,0.43926678
2024-01-03,NOK,DKK,0.65884276
2024-01-03,NOK,CZK,2.17977032
2024-01-03,EUR,NOK,11.32
2024-01-03,EUR,SEK,11.1915
2024-01-03,EUR,PLN,4.3638
2024-01-03,EUR,RON,4.9725
2024-01-03,EUR,DKK,7.4581
2024-01-03,EUR,CZK,24.675
2024-01-03,SEK,NOK,1.01148193
2024-01-03,SEK,EUR,0.08935353
2024-01-03,SEK,PLN,0.38992092
2024-01-03,SEK,RON,0.44431041
2024-01-03,SEK,DKK,0.66640754
2024-01-03,SEK,CZK,2.20479828
2024-01-03,PLN,NOK,2.59406939
2024-01-03,PLN,EUR,0.22915807
2024-01-03,PLN,SEK,2.56462258
2024-01-03,PLN,RON,1.13948852
2024-01-03,PLN,DKK,1.70908383
2024-01-03,PLN,CZK,5.65447546
2024-01-03,RON,NOK,2.27652086
2024-01-03,RON,EUR,0.20110608
2024-01-03,RON,SEK,2.25067873
2024-01-03,RON,PLN,0.87758673
2024-01-03,RON,DKK,1.49986928
2024-01-03,RON,CZK,4.96229261
2024-01-03,DKK,NOK,1.51781285
2024-01-03,DKK,EUR,0.13408241
2024-01-03,DKK,SEK,1.50058326
2024-01-03,DKK,PLN,0.58510881
2024-01-03,DKK,RON,0.66672477
2024-01-03,DKK,CZK,3.30848339
2024-01-03,CZK,NOK,0.45876393
2024-01-03,CZK,EUR,0.04052685
2024-01-03,CZK,SEK,0.45355623
2024-01-03,CZK,PLN,0.17685106
2024-01-03,CZK,RON,0.20151976
2024-01-03,CZK,DKK,0.30225329
2024-01-04,NOK,EUR,0.08861713
2024-01-04,NOK,SEK,0.99166999
2024-01-04,NOK,PLN,0.38513005
2024-01-04,NOK,RON,0.44071957
2024-01-04,NOK,DKK,0.66099517
2024-01-04,NOK,CZK,2.18458948
2024-01-04,EUR,NOK,11.2845
2024-01-04,EUR,SEK,11.1905
2024-01-04,EUR,PLN,4.346
2024-01-04,EUR,RON,4.9733
2024-01-04,EUR,DKK,7.459
2024-01-04,EUR,CZK,24.652
2024-01-04,SEK,NOK,1.00839998
2024-01-04,SEK,EUR,0.08936151
2024-01-04,SEK,PLN,0.38836513
2024-01-04,SEK,RON,0.44442161
2024-01-04,SEK,DKK,0.66654752
2024-01-04,SEK,CZK,2.20293999
2024-01-04,PLN,NOK,2.59652554
2024-01-04,PLN,EUR,0.23009664
2024-01-04,PLN,SEK,2.57489646
2024-01-04,PLN,RON,1.14433962
2024-01-04,PLN,DKK,1.71629084
2024-01-04,PLN,CZK,5.67234238
2024-01-04,RON,NOK,2.26901655
